what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421879583774
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421879585460
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421879587853
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421879588438
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1421879590223
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421879595758
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421879596274
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1421879597727
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421879599794
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421879623726
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1421879626059
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1421879638990
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1421879642573
opened,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1421879644600
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1421879644623
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1421879646389
closed,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1421879646389
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421879649544
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421879650453
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421879654981
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421879656323
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421879663123
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421879695795
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421879716661
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421879717805
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1421879730611
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1421879733623
opened,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1421879741899
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1421879741922
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1421879745102
closed,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1421879745103
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421879755218
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421879780883
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1421879786763
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1421879789134
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1421879791041
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421879793452
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421879793552
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.filebuffers"".",1421879804103
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421879804130
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1421879804210
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.rename",1421879804210
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421879816298
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421879816345
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421879822073
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1421879822124
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.rename",1421879822124
opened,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1421879827149
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1421879827171
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1421879828909
closed,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1421879828909
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1421879837241
opened,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1421879841470
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1421879841493
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1421879845194
closed,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1421879845194
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1421879855483
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1421879906745
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1421879917151
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421879942927
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421879946913
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.help.aboutAction",1421879946976
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1421879975828
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1421879979116
opened,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1421879981141
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1421879981164
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421879981312
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421879985199
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1421879987757
closed,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1421879987757
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1421880005830
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1421880010902
opened,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1421880013089
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1421880013109
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421880013233
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421880014563
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421880014589
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421880016033
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1421880021031
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1421880028212
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1421880029280
closed,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1421880029280
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1421880031735
opened,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1421880038942
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1421880038966
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421880039085
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421880040801
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421880040816
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421880042972
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1421880045641
closed,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1421880045641
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1421880057272
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1421880096472
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1421880098321
opened,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1421880100766
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1421880100788
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421880100901
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421880101997
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421880102011
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421880103069
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1421880122535
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1421880225980
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1421880228266
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1421880230679
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421880230806
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421880232287
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421880232302
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421880233207
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421880264429
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421880293581
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1421880303747
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1421880311035
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1421880311961
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421880314918
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421880318669
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421880318683
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421880320293
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1421880358680
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1421880374425
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421880378200
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421880382395
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421880382409
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421880383650
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421880392609
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421880877709
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1421880879987
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421880909992
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421880921784
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421880922619
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421880923555
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421880925043
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421880926124
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421880927572
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421880928634
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421880933201
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421880934133
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1421881037460
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1421881197829
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1421881203205
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1421881212834
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1421881215415
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1421881304961
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421881308039
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421881319406
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421881323828
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421881327253
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421881328005
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421881330513
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1421881340056
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1421881343907
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1421881345877
closed,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1421881345877
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1421881440107
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1421881454158
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1421881471717
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1421881474843
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1421881478027
opened,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1421881480276
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1421881480300
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421881480382
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421881481838
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421881481854
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421881482490
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1421881489856
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1421881545414
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1421881546706
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421881549587
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421881550993
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421881551009
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421881551742
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1421881560751
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1421881654897
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1421881658121
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421881666383
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1421881667791
